Area,Year,Variable,Value_efficiency,Unit,Variable_GDP per capita,Value_GDP per capita,Unit_GDP per capita,Variable_Total population with access to safe drinking-water (JMP),Value_Total population with access to safe drinking-water (JMP),Unit_Total population with access to safe drinking-water (JMP),Variable_Population affected by water related disease,Value_Population affected by water related disease,Unit_Population affected by water related disease,Variable_Gender Inequality Index (GII) [equality = 0; inequality = 1),Value_Gender Inequality Index (GII) [equality = 0; inequality = 1),Unit_Gender Inequality Index (GII) [equality = 0; inequality = 1),Variable_Human Development Index (HDI) [highest = 1],Value_Human Development Index (HDI) [highest = 1],Unit_Human Development Index (HDI) [highest = 1],Variable_Total renewable water resources per capita,Value_Total renewable water resources per capita,Unit_Total renewable water resources per capita,Variable_Agricultural water withdrawal as % of total water withdrawal,Value_Agricultural water withdrawal as % of total water withdrawal,Unit_Agricultural water withdrawal as % of total water withdrawal,Variable_Industrial water withdrawal as % of total water withdrawal,Value_Industrial water withdrawal as % of total water withdrawal,Unit_Industrial water withdrawal as % of total water withdrawal
Egypt,2017,SDG 6.4.1. Water Use Efficiency,4.389134016,US$/m3,GDP per capita,1917.049576,current US$/inhab,Total population with access to safe drinking-water (JMP),99.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5726,,Human Development Index (HDI) [highest = 1],0.696,,Total renewable water resources per capita,564.891903366,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,79.161290323,%,Industrial water withdrawal as % of total water withdrawal,6.967741936,%
Egypt,2018,SDG 6.4.1. Water Use Efficiency,4.585445263,US$/m3,GDP per capita,2407.453633,current US$/inhab,Total population with access to safe drinking-water (JMP),99.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5726,,Human Development Index (HDI) [highest = 1],0.7,,Total renewable water resources per capita,554.26620384,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,79.161290323,%,Industrial water withdrawal as % of total water withdrawal,6.967741936,%
Egypt,2019,SDG 6.4.1. Water Use Efficiency,4.813238043,US$/m3,GDP per capita,3004.652156,current US$/inhab,Total population with access to safe drinking-water (JMP),99.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5726,,Human Development Index (HDI) [highest = 1],0.7,,Total renewable water resources per capita,544.411319093,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,79.161290323,%,Industrial water withdrawal as % of total water withdrawal,6.967741936,%
Egypt,2020,SDG 6.4.1. Water Use Efficiency,4.892334203,US$/m3,GDP per capita,3457.211063,current US$/inhab,Total population with access to safe drinking-water (JMP),99.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5726,,Human Development Index (HDI) [highest = 1],0.7,,Total renewable water resources per capita,535.057258664,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,79.161290323,%,Industrial water withdrawal as % of total water withdrawal,6.967741936,%
Egypt,2021,SDG 6.4.1. Water Use Efficiency,5.310474966,US$/m3,GDP per capita,3898.01973,current US$/inhab,Total population with access to safe drinking-water (JMP),99.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5726,,Human Development Index (HDI) [highest = 1],0.7,,Total renewable water resources per capita,526.257128061,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,79.161290323,%,Industrial water withdrawal as % of total water withdrawal,6.967741936,%
El Salvador,2005,SDG 6.4.1. Water Use Efficiency,7.658289736,US$/m3,GDP per capita,2434.323766,current US$/inhab,Total population with access to safe drinking-water (JMP),86.0,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.517,,Human Development Index (HDI) [highest = 1],0.637,,Total renewable water resources per capita,4350.910271047,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,67.563739377,%,Industrial water withdrawal as % of total water withdrawal,10.056657224,%
El Salvador,2006,SDG 6.4.1. Water Use Efficiency,8.290417926,US$/m3,GDP per capita,2651.430288,current US$/inhab,Total population with access to safe drinking-water (JMP),86.9,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.5068,,Human Development Index (HDI) [highest = 1],0.645,,Total renewable water resources per capita,4353.348017942,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,66.807700553,%,Industrial water withdrawal as % of total water withdrawal,10.466450909,%
El Salvador,2007,SDG 6.4.1. Water Use Efficiency,8.723841384,US$/m3,GDP per capita,2814.59003,current US$/inhab,Total population with access to safe drinking-water (JMP),87.7,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4966,,Human Development Index (HDI) [highest = 1],0.644,,Total renewable water resources per capita,4346.365093675,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,65.987429467,%,Industrial water withdrawal as % of total water withdrawal,10.911060235,%
El Salvador,2008,SDG 6.4.1. Water Use Efficiency,9.378230949,US$/m3,GDP per capita,2964.171521,current US$/inhab,Total population with access to safe drinking-water (JMP),88.5,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4864,,Human Development Index (HDI) [highest = 1],0.647,,Total renewable water resources per capita,4329.197661409,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,65.094377312,%,Industrial water withdrawal as % of total water withdrawal,11.395118887,%
El Salvador,2009,SDG 6.4.1. Water Use Efficiency,9.759493792,US$/m3,GDP per capita,2889.685232,current US$/inhab,Total population with access to safe drinking-water (JMP),89.3,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4762,,Human Development Index (HDI) [highest = 1],0.647,,Total renewable water resources per capita,4312.787587577,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,64.118407816,%,Industrial water withdrawal as % of total water withdrawal,11.924121002,%
El Salvador,2010,SDG 6.4.1. Water Use Efficiency,10.310122376,US$/m3,GDP per capita,3017.307794,current US$/inhab,Total population with access to safe drinking-water (JMP),90.1,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.466,,Human Development Index (HDI) [highest = 1],0.659,,Total renewable water resources per capita,4296.672213468,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,63.047410824,%,Industrial water withdrawal as % of total water withdrawal,12.504630614,%
El Salvador,2011,SDG 6.4.1. Water Use Efficiency,11.155070661,US$/m3,GDP per capita,3304.97478,current US$/inhab,Total population with access to safe drinking-water (JMP),90.9,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.457666667,,Human Development Index (HDI) [highest = 1],0.656,,Total renewable water resources per capita,4280.349707993,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,61.866797235,%,Industrial water withdrawal as % of total water withdrawal,13.144555415,%
El Salvador,2012,SDG 6.4.1. Water Use Efficiency,12.210107137,US$/m3,GDP per capita,3471.051759,current US$/inhab,Total population with access to safe drinking-water (JMP),91.6,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.449333333,,Human Development Index (HDI) [highest = 1],0.66,,Total renewable water resources per capita,4263.718192735,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,60.55883048,%,Industrial water withdrawal as % of total water withdrawal,13.853509109,%
El Salvador,2013,SDG 6.4.1. Water Use Efficiency,13.298600228,US$/m3,GDP per capita,3555.162431,current US$/inhab,Total population with access to safe drinking-water (JMP),92.4,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.441,,Human Development Index (HDI) [highest = 1],0.662,,Total renewable water resources per capita,4246.931846363,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.101729348,%,Industrial water withdrawal as % of total water withdrawal,14.643297708,%
El Salvador,2014,SDG 6.4.1. Water Use Efficiency,14.303577568,US$/m3,GDP per capita,3638.518045,current US$/inhab,Total population with access to safe drinking-water (JMP),93.1,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.66,,Total renewable water resources per capita,4230.596667121,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,57.468445349,%,Industrial water withdrawal as % of total water withdrawal,15.528582231,%
El Salvador,2015,SDG 6.4.1. Water Use Efficiency,15.334892544,US$/m3,GDP per capita,3761.513349,current US$/inhab,Total population with access to safe drinking-water (JMP),93.8,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.66,,Total renewable water resources per capita,4215.97203432,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,54.824255847,%,Industrial water withdrawal as % of total water withdrawal,16.289882351,%
El Salvador,2016,SDG 6.4.1. Water Use Efficiency,16.62683152,US$/m3,GDP per capita,3870.312982,current US$/inhab,Total population with access to safe drinking-water (JMP),93.8,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.662,,Total renewable water resources per capita,4202.857046865,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,52.282057225,%,Industrial water withdrawal as % of total water withdrawal,17.253304721,%
El Salvador,2017,SDG 6.4.1. Water Use Efficiency,17.870605976,US$/m3,GDP per capita,3986.049014,current US$/inhab,Total population with access to safe drinking-water (JMP),93.8,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.665,,Total renewable water resources per capita,4192.029749847,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,48.823375909,%,Industrial water withdrawal as % of total water withdrawal,18.116371832,%
El Salvador,2018,SDG 6.4.1. Water Use Efficiency,19.507637053,US$/m3,GDP per capita,4145.862947,current US$/inhab,Total population with access to safe drinking-water (JMP),93.8,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.667,,Total renewable water resources per capita,4185.5590406,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,45.633725089,%,Industrial water withdrawal as % of total water withdrawal,19.338705004,%
El Salvador,2019,SDG 6.4.1. Water Use Efficiency,21.337951532,US$/m3,GDP per capita,4280.28789,current US$/inhab,Total population with access to safe drinking-water (JMP),93.8,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.667,,Total renewable water resources per capita,4182.976479953,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,41.730610913,%,Industrial water withdrawal as % of total water withdrawal,20.613485925,%
El Salvador,2020,SDG 6.4.1. Water Use Efficiency,20.959188568,US$/m3,GDP per capita,3903.395116,current US$/inhab,Total population with access to safe drinking-water (JMP),93.8,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.667,,Total renewable water resources per capita,4174.658030035,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,37.40449351,%,Industrial water withdrawal as % of total water withdrawal,22.14390115,%
El Salvador,2021,SDG 6.4.1. Water Use Efficiency,19.595128618,US$/m3,GDP per capita,4551.184798,current US$/inhab,Total population with access to safe drinking-water (JMP),93.8,%,Population affected by water related disease,12.0,1000 inhab,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4269,,Human Development Index (HDI) [highest = 1],0.667,,Total renewable water resources per capita,4160.485460711,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,46.271007928,%,Industrial water withdrawal as % of total water withdrawal,19.007266752,%
Equatorial Guinea,2005,,,,GDP per capita,9852.458555,current US$/inhab,Total population with access to safe drinking-water (JMP),47.3,%,,,,,,,Human Development Index (HDI) [highest = 1],0.569,,Total renewable water resources per capita,30067.327685302,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2006,,,,GDP per capita,11140.198406,current US$/inhab,Total population with access to safe drinking-water (JMP),47.4,%,,,,,,,Human Development Index (HDI) [highest = 1],0.579,,Total renewable water resources per capita,28716.018457773,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2007,,,,GDP per capita,13776.902027,current US$/inhab,Total population with access to safe drinking-water (JMP),47.4,%,,,,,,,Human Development Index (HDI) [highest = 1],0.585,,Total renewable water resources per capita,27402.631074162,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2008,,,,GDP per capita,19849.726474,current US$/inhab,Total population with access to safe drinking-water (JMP),47.4,%,,,,,,,Human Development Index (HDI) [highest = 1],0.586,,Total renewable water resources per capita,26131.414885459,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2009,,,,GDP per capita,14398.772801,current US$/inhab,Total population with access to safe drinking-water (JMP),47.5,%,,,,,,,Human Development Index (HDI) [highest = 1],0.588,,Total renewable water resources per capita,24911.707160966,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2010,,,,GDP per capita,14890.980243,current US$/inhab,Total population with access to safe drinking-water (JMP),47.5,%,,,,,,,Human Development Index (HDI) [highest = 1],0.58,,Total renewable water resources per capita,23754.618446009,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2011,,,,GDP per capita,18634.963236,current US$/inhab,Total population with access to safe drinking-water (JMP),47.6,%,,,,,,,Human Development Index (HDI) [highest = 1],0.583,,Total renewable water resources per capita,22715.597227998,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2012,,,,GDP per capita,18757.479843,current US$/inhab,Total population with access to safe drinking-water (JMP),47.7,%,,,,,,,Human Development Index (HDI) [highest = 1],0.587,,Total renewable water resources per capita,21782.184853674,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2013,,,,GDP per capita,17639.545284,current US$/inhab,Total population with access to safe drinking-water (JMP),47.7,%,,,,,,,Human Development Index (HDI) [highest = 1],0.588,,Total renewable water resources per capita,20901.312843616,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2014,,,,GDP per capita,16782.647603,current US$/inhab,Total population with access to safe drinking-water (JMP),47.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.59,,Total renewable water resources per capita,20074.383311084,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2015,,,,GDP per capita,9781.577396,current US$/inhab,Total population with access to safe drinking-water (JMP),47.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.593,,Total renewable water resources per capita,19302.539843041,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2016,,,,GDP per capita,8035.311957,current US$/inhab,Total population with access to safe drinking-water (JMP),47.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.592,,Total renewable water resources per capita,18585.673162359,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2017,,,,GDP per capita,8410.394418,current US$/inhab,Total population with access to safe drinking-water (JMP),47.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.59,,Total renewable water resources per capita,17922.456424304,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2018,,,,GDP per capita,8719.188065,current US$/inhab,Total population with access to safe drinking-water (JMP),47.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.588,,Total renewable water resources per capita,17309.204302536,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2019,,,,GDP per capita,7351.611037,current US$/inhab,Total population with access to safe drinking-water (JMP),47.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.588,,Total renewable water resources per capita,16741.455901395,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2020,,,,GDP per capita,6279.165558,current US$/inhab,Total population with access to safe drinking-water (JMP),47.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.588,,Total renewable water resources per capita,16290.226678504,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Equatorial Guinea,2021,,,,GDP per capita,7605.453384,current US$/inhab,Total population with access to safe drinking-water (JMP),47.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.588,,Total renewable water resources per capita,15907.336096315,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,5.05050505,%,Industrial water withdrawal as % of total water withdrawal,15.151515151,%
Eritrea,2005,SDG 6.4.1. Water Use Efficiency,2.058889493,US$/m3,GDP per capita,387.89854,current US$/inhab,Total population with access to safe drinking-water (JMP),53.7,%,,,,,,,Human Development Index (HDI) [highest = 1],0.424,,Total renewable water resources per capita,2583.224683692,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2006,SDG 6.4.1. Water Use Efficiency,2.008242919,US$/m3,GDP per capita,325.4472,current US$/inhab,Total population with access to safe drinking-water (JMP),54.2,%,,,,,,,Human Development Index (HDI) [highest = 1],0.425,,Total renewable water resources per capita,2539.848539613,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2007,SDG 6.4.1. Water Use Efficiency,2.086056969,US$/m3,GDP per capita,348.572087,current US$/inhab,Total population with access to safe drinking-water (JMP),54.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.427,,Total renewable water resources per capita,2499.856467571,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2008,SDG 6.4.1. Water Use Efficiency,1.871851461,US$/m3,GDP per capita,306.972896,current US$/inhab,Total population with access to safe drinking-water (JMP),55.3,%,,,,,,,Human Development Index (HDI) [highest = 1],0.423,,Total renewable water resources per capita,2433.64532123,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2009,SDG 6.4.1. Water Use Efficiency,2.185984302,US$/m3,GDP per capita,420.468066,current US$/inhab,Total population with access to safe drinking-water (JMP),55.9,%,,,,,,,Human Development Index (HDI) [highest = 1],0.432,,Total renewable water resources per capita,2372.005727834,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2010,SDG 6.4.1. Water Use Efficiency,2.280247289,US$/m3,GDP per capita,504.97246,current US$/inhab,Total population with access to safe drinking-water (JMP),56.4,%,,,,,,,Human Development Index (HDI) [highest = 1],0.433,,Total renewable water resources per capita,2323.899118316,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2011,SDG 6.4.1. Water Use Efficiency,2.946170713,US$/m3,GDP per capita,643.790042,current US$/inhab,Total population with access to safe drinking-water (JMP),57.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.433,,Total renewable water resources per capita,2280.542591432,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2012,SDG 6.4.1. Water Use Efficiency,3.039444641,US$/m3,GDP per capita,693.249881,current US$/inhab,Total population with access to safe drinking-water (JMP),57.5,%,,,,,,,Human Development Index (HDI) [highest = 1],0.422,,Total renewable water resources per capita,2248.972820479,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2013,SDG 6.4.1. Water Use Efficiency,2.655540799,US$/m3,GDP per capita,593.972461,current US$/inhab,Total population with access to safe drinking-water (JMP),57.6,%,,,,,,,Human Development Index (HDI) [highest = 1],0.425,,Total renewable water resources per capita,2219.109704714,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2014,SDG 6.4.1. Water Use Efficiency,3.590135159,US$/m3,GDP per capita,783.599493,current US$/inhab,Total population with access to safe drinking-water (JMP),57.7,%,,,,,,,Human Development Index (HDI) [highest = 1],0.436,,Total renewable water resources per capita,2201.042599126,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2015,SDG 6.4.1. Water Use Efficiency,2.926667166,US$/m3,GDP per capita,602.752435,current US$/inhab,Total population with access to safe drinking-water (JMP),57.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.433,,Total renewable water resources per capita,2190.115826139,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2016,SDG 6.4.1. Water Use Efficiency,3.194271439,US$/m3,GDP per capita,645.922035,current US$/inhab,Total population with access to safe drinking-water (JMP),57.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.434,,Total renewable water resources per capita,2173.663048649,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2017,SDG 6.4.1. Water Use Efficiency,2.818843951,US$/m3,GDP per capita,560.495845,current US$/inhab,Total population with access to safe drinking-water (JMP),57.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.431,,Total renewable water resources per capita,2153.413093517,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2018,SDG 6.4.1. Water Use Efficiency,3.210655015,US$/m3,GDP per capita,582.130815,current US$/inhab,Total population with access to safe drinking-water (JMP),57.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.434,,Total renewable water resources per capita,2123.136704462,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2019,SDG 6.4.1. Water Use Efficiency,3.338609434,US$/m3,GDP per capita,566.436164,current US$/inhab,Total population with access to safe drinking-water (JMP),57.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.434,,Total renewable water resources per capita,2090.706061304,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2020,SDG 6.4.1. Water Use Efficiency,3.190542727,US$/m3,GDP per capita,586.05306,current US$/inhab,Total population with access to safe drinking-water (JMP),57.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.434,,Total renewable water resources per capita,2057.162976803,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Eritrea,2021,SDG 6.4.1. Water Use Efficiency,3.26678745,US$/m3,GDP per capita,622.98214,current US$/inhab,Total population with access to safe drinking-water (JMP),57.8,%,,,,,,,Human Development Index (HDI) [highest = 1],0.434,,Total renewable water resources per capita,2020.544085703,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,94.501718213,%,Industrial water withdrawal as % of total water withdrawal,0.171821306,%
Estonia,2005,SDG 6.4.1. Water Use Efficiency,10.860523954,US$/m3,GDP per capita,10411.563615,current US$/inhab,Total population with access to safe drinking-water (JMP),99.2,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.241,,Human Development Index (HDI) [highest = 1],0.825,,Total renewable water resources per capita,9453.280596931,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,0.847778441,%,Industrial water withdrawal as % of total water withdrawal,94.342523981,%
Estonia,2006,SDG 6.4.1. Water Use Efficiency,11.731914017,US$/m3,GDP per capita,12646.859173,current US$/inhab,Total population with access to safe drinking-water (JMP),99.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.230125,,Human Development Index (HDI) [highest = 1],0.832,,Total renewable water resources per capita,9509.107015695,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,0.635954157,%,Industrial water withdrawal as % of total water withdrawal,94.732709691,%
Estonia,2007,SDG 6.4.1. Water Use Efficiency,10.710329683,US$/m3,GDP per capita,16742.324549,current US$/inhab,Total population with access to safe drinking-water (JMP),99.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.21925,,Human Development Index (HDI) [highest = 1],0.839,,Total renewable water resources per capita,9552.624472801,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,0.414394765,%,Industrial water withdrawal as % of total water withdrawal,82.350473953,%
Estonia,2008,SDG 6.4.1. Water Use Efficiency,11.871002753,US$/m3,GDP per capita,18184.746573,current US$/inhab,Total population with access to safe drinking-water (JMP),99.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.208375,,Human Development Index (HDI) [highest = 1],0.841,,Total renewable water resources per capita,9578.081257372,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,0.259477491,%,Industrial water withdrawal as % of total water withdrawal,95.457110684,%
Estonia,2009,SDG 6.4.1. Water Use Efficiency,11.593474629,US$/m3,GDP per capita,14717.850724,current US$/inhab,Total population with access to safe drinking-water (JMP),99.4,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.1975,,Human Development Index (HDI) [highest = 1],0.838,,Total renewable water resources per capita,9595.729503234,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,0.30616332,%,Industrial water withdrawal as % of total water withdrawal,95.043247253,%
Estonia,2010,SDG 6.4.1. Water Use Efficiency,8.886324298,US$/m3,GDP per capita,14671.124191,current US$/inhab,Total population with access to safe drinking-water (JMP),99.5,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.186625,,Human Development Index (HDI) [highest = 1],0.844,,Total renewable water resources per capita,9617.471564773,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,0.225855441,%,Industrial water withdrawal as % of total water withdrawal,96.462815495,%
Estonia,2011,SDG 6.4.1. Water Use Efficiency,9.340349641,US$/m3,GDP per capita,17465.051652,current US$/inhab,Total population with access to safe drinking-water (JMP),99.5,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.17575,,Human Development Index (HDI) [highest = 1],0.853,,Total renewable water resources per capita,9647.220303308,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,0.230380422,%,Industrial water withdrawal as % of total water withdrawal,96.582245313,%
